Cabelo[1[R$18,00[01/02/2023[00-Transferencia Enviada]
Exame toxicológico[1[R$250,00[01/02/2023[00-Transferencia Enviada]
Rendimentos KNCR11[20[R$1,20[13/02/2023[10-Dividendos do FIIs]
Rendimentos BCFF11[30[R$0,56[14/02/2023[10-Dividendos do FIIs]
Rendimentos JSRE11[10[R$0,49[14/02/2023[10-Dividendos do FIIs]
Rendimentos CDI MP[1[R$3,95[15/02/2023[10-Dividendos do FIIs]
Pao[1[R$3,38[23/02/2023[00-Transferencia Enviada]
Recarga Claro[1[R$15,00[06/03/2023[00-Transferencia Enviada]
Presente davi[1[R$31,98[10/03/2023[00-Transferencia Enviada]
Presente[1[R$60,00[11/03/2023[01-Tranferencia Recebida]
Unipac[2[R$25,00[14/03/2023[00-Transferencia Enviada]
Canetas[1[R$6,00[14/03/2023[00-Transferencia Enviada]
Rendimentos JSRE11[10[R$0,46[14/03/2023[10-Dividendos do FIIs]
Rendimentos BCFF11[30[R$0,56[14/03/2023[10-Dividendos do FIIs]
Rendimentos KNCR11[20[R$1,00[13/03/2023[10-Dividendos do FIIs]
Cabelo[1[R$20,00[17/03/2023[00-Transferencia Enviada]
Saque[1[R$34,00[21/03/2023[00-Transferencia Enviada]
Pao[1[R$4,70[05/04/2023[00-Transferencia Enviada]
Rendimentos KNCR11[20[R$1,22[14/04/2023[10-Dividendos do FIIs]
Rendimentos CDI MP[1[R$6,42[14/04/2023[10-Dividendos do FIIs]
Rendimentos JSRE11[10[R$0,46[17/04/2023[10-Dividendos do FIIs]
Rendimentos BCFF11[30[R$0,56[17/04/2023[10-Dividendos do FIIs]
Parquinho ingressos davi[1[R$30,00[27/04/2023[00-Transferencia Enviada]
Cabelo e copo descartável[1[R$25,00[02/05/2023[00-Transferencia Enviada]
Recarga Claro[1[R$15,00[04/05/2023[00-Transferencia Enviada]
Davi pediu dinheiro[1[R$360,00[12/05/2023[00-Transferencia Enviada]
Rendimentos KNCR11[20[R$1,00[12/05/2023[10-Dividendos do FIIs]
Rendimentos JSRE11[10[R$0,46[15/05/2023[10-Dividendos do FIIs]
Rendimentos BCFF11[30[R$0,56[15/05/2023[10-Dividendos do FIIs]
Rendimentos CDI MP[1[R$2,85[15/05/2023[10-Dividendos do FIIs]
Resgate BCFF11[30[R$68,80[19/05/2023[09-Resgate FIIs]
emprestado pro pai pagar o pedreiro[1[R$2.000,00[23/05/2023[02-Emprestei]
Taxa Modal Resgate[1[R$0,61[23/05/2023[00-Transferencia Enviada]
Mercado[1[R$21,08[01/06/2023[00-Transferencia Enviada]
Rendimentos KNCR11[20[R$1,24[14/06/2023[10-Dividendos do FIIs]
Rendimentos JSRE11[10[R$0,46[15/06/2023[10-Dividendos do FIIs]
Vendi a Alexa[1[R$200,00[04/06/2023[01-Tranferencia Recebida]
Mercado pasta e suco[1[R$8,99[21/06/2023[00-Transferencia Enviada]
Rendimentos KNCR11[20[R$1,15[13/07/2023[10-Dividendos do FIIs]
Rendimentos JSRE11[10[R$0,46[14/07/2023[10-Dividendos do FIIs]
Taxa Semestral Tesouro Direto[1[R$12,95[03/07/2023[00-Transferencia Enviada]
Juros Modal Emprestimo[1[R$0,53[13/07/2023[00-Transferencia Enviada]
Gasolina fox[1[R$50,00[01/08/2023[00-Transferencia Enviada]
Rendimentos JSRE11[10[R$0,46[14/08/2023[10-Dividendos do FIIs]
Rendimentos KNCR11[20[R$1,15[11/08/2023[10-Dividendos do FIIs]
Rendimentos CDI MP[1[R$6,24[15/08/2023[10-Dividendos do FIIs]
dinheiro pra usar pai[1[R$80,00[23/08/2023[01-Tranferencia Recebida]
Combustivel[1[R$50,00[23/08/2023[00-Transferencia Enviada]
Padaria[1[R$8,85[23/08/2023[00-Transferencia Enviada]
Ração Gato[1[R$18,00[23/08/2023[00-Transferencia Enviada]
Do pai[1[R$129,00[28/08/2023[01-Tranferencia Recebida]
Pao e material davi[1[R$16,10[29/08/2023[00-Transferencia Enviada]
Álcool combustível[1[R$50,00[30/08/2023[00-Transferencia Enviada]
Mercado[1[R$66,00[30/08/2023[00-Transferencia Enviada]
Gasolina uno[1[R$20,00[02/10/2023[00-Transferencia Enviada]
Pixlive[1[R$1,00[30/09/2023[00-Transferencia Enviada]
Rendimentos KNCR11[20[R$1,20[14/09/2023[10-Dividendos do FIIs]
Rendimentos JSRE11[10[R$0,46[15/09/2023[10-Dividendos do FIIs]
Rendimentos KNCR11[20[R$1,10[13/10/2023[10-Dividendos do FIIs]
Rendimentos JSRE11[10[R$0,46[16/10/2023[10-Dividendos do FIIs]
Coxinha davi[1[R$6,50[25/10/2023[00-Transferencia Enviada]




  const allOperation = [
    {
        id:'000',
        op:'Tranferencia Enviada'
    },
   {
        id:'001',
        op:'Tranferencia Recebida'
    },
   {
        id:'002',
        op:'Emprestado Enviada'
    },
   {
        id:'003',
        op:'Emprestado Recebida'
    },
   {
        id:'004',
        op:'Investimento em Renda Fixa'
    },
   {
        id:'005',
        op:'Resgate Renda Fixa'
    },
   {
        id:'006',
        op:'Investimento em Tesouro'
    },
   {
        id:'007',
        op:'Resgate Tesouro'
    },
   {
        id:'008',
        op:'Investimento em FIIs'
    },
   {
        id:'009',
        op:'Resgate FIIs'
    },
   {
        id:'010',
        op:'Dividendos do FIIs'
    },
   {
        id:'011',
        op:'T. Enviada (SaldoMãe)'
    },
   {
        id:'012',
        op:'T. Recebida (SaldoMãe)'
    },
   {
        id:'013',
        op:'T. Enviada (SaldoPai)'
    },
   {
        id:'014',
        op:'T. Recebida (SaldoPai)'
    },
  ]
